FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 OUTRAS FONTES PRIMÁRIAS ,6492,0,2005
 ENERGIA PRIMÁRIA TOTAL ,200695,40154,2005
 BIODIESEL ,0,0,2005
 ÓLEO DIESEL ,0,2520,2005
 ÓLEO COMBUSTÍVEL ,0,51,2005
 GASOLINA ,0,55,2005
 GLP ,0,579,2005
 NAFTA ,0,3653,2005
 QUEROSENE ,0,267,2005
 GÁS DE CIDADE E DE COQUERIA ,0,0,2005
 COQUE DE CARVÃO MINERAL ,0,1202,2005
 URÂNIO CONTIDO NO UO2,0,2332,2005
 ELETRICIDADE,0,3371,2005
 CARVÃO VEGETAL ,0,58,2005
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,2005
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1994,2005
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1250,2005
 ALCATRÃO ,0,0,2005
 ENERGIA SECUNDÁRIA TOTAL ,0,17331,2005
 TOTAL  ,200695,57486,2005
 PETRÓLEO ,76641,23258,2004
 GÁS NATURAL ,16852,7116,2004
 CARVÃO VAPOR ,2016,2530,2004
 CARVÃO METALÚRGICO ,137,7136,2004
 URÂNIO U3O8 ,3569,507,2004
 ENERGIA HIDRÁULICA ,27589,0,2004
 LENHA ,28187,0,2004
 PRODUTOS DA CANA ,29385,0,2004
 OUTRAS FONTES PRIMÁRIAS ,6007,0,2004
 ENERGIA PRIMÁRIA TOTAL ,190384,40546,2004
 ÓLEO DIESEL ,0,2285,2004
 ÓLEO COMBUSTIVEL ,0,125,2004
 GASOLINA ,0,44,2004
 GLP ,0,1149,2004
 NAFTA ,0,3443,2004
 QUEROSENE ,0,89,2004
 GÁS DE COQUERIA ,0,0,2004
 COQUE DE CARVÃO MINERAL ,0,1412,2004
 URÂNIO CONTIDO NO UO2,0,5627,2004
 ELETRICIDADE,0,3216,2004
 CARVÃO VEGETAL ,0,34,2004
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,2004
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2153,2004
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,485,2004
 ALCATRÃO ,0,0,2004
 ENERGIA SECUNDÁRIA TOTAL ,0,20060,2004
 TOTAL  ,190384,60606,2004
 PETRÓLEO ,77225,17646,2003
 GÁS NATURAL ,15681,4448,2003
 CARVÃO VAPOR ,1785,2276,2003
 CARVÃO METALÚRGICO ,38,7030,2003
 URÂNIO U3O8 ,2745,2155,2003
 ENERGIA HIDRÁULICA ,26283,0,2003
