FONTE,PRODUÇÃO,IMPORTAÇÃO,ANO
 QUEROSENE ,0,1482.0659999999998,2011
 GÁS DE CIDADE E DE COQUERIA ,0,0,2011
 COQUE DE CARVÃO MINERAL ,0,1478.2284,2011
 URÂNIO CONTIDO NO UO2,0,2320.9432520976998,2011
 ELETRICIDADE,0,3305.0005539999997,2011
 CARVÃO VEGETAL ,0,0,2011
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,600.6238080620568,2011
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3469.44,2011
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1062.2939999999999,2011
 ALCATRÃO ,0,0,2011
 ENERGIA SECUNDÁRIA TOTAL ,0,31525.801014159755,2011
 TOTAL  ,256807.10007877546,71060.52255870355,2011
CONTA,PRODUÇÃO,IMPORTAÇÃO,2010
 PETRÓLEO ,106558.80242397112,17515.746541469078,2010
 GÁS NATURAL ,22770.995853286342,11129.50349181497,2010
 CARVÃO VAPOR ,2104.4687487694996,2895.3949999999995,2010
 CARVÃO METALÚRGICO ,0,7972.0199999999995,2010
 URÂNIO U3O8 ,1766.8120009999998,1418.5843959600002,2010
 ENERGIA HIDRÁULICA ,34682.92394053632,0,2010
 LENHA ,25997.346219070063,0,2010
 PRODUTOS DA CANA ,48852.28487362225,0,2010
 OUTRAS FONTES PRIMÁRIAS ,10706.589481414474,0,2010
 ENERGIA PRIMÁRIA TOTAL ,253440.22354167004,40931.24942924405,2010
 BIODIESEL ,0,0,2010
 ÓLEO DIESEL ,0,7637.932816018775,2010
 ÓLEO COMBUSTÍVEL ,0,154.1233911628825,2010
 GASOLINA ,0,393.66933682169037,2010
 GLP ,0,1907.8932917934758,2010
 NAFTA ,0,5136.225292371795,2010
 QUEROSENE ,0,1580.539528025034,2010
 GÁS DE CIDADE E DE COQUERIA ,0,0,2010
 COQUE DE CARVÃO MINERAL ,0,1242.95109807,2010
 URÂNIO CONTIDO NO UO2,0,3526.6610290602002,2010
 ELETRICIDADE,0,3087.8890819999997,2010
 CARVÃO VEGETAL ,0,0.646,2010
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,39.01722516024379,2010
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3384.349862149039,2010
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1722.567404301508,2010
 ALCATRÃO ,0,0,2010
 ENERGIA SECUNDÁRIA TOTAL ,0,29814.46535693465,2010
 TOTAL  ,253440.22354167004,70745.7147861787,2010
CONTA,PRODUÇÃO,IMPORTAÇÃO,2009
 PETRÓLEO ,100918.391,19346.1513,2009
 GÁS NATURAL ,20982.848804999998,7361.904000000001,2009
 CARVÃO VAPOR ,1912.8807161999998,1998.6786527667286,2009
 CARVÃO METALÚRGICO ,166.91219999999998,6627.104205019999,2009
 URÂNIO U3O8 ,4117.255284949999,29.848146513999993,2009
 ENERGIA HIDRÁULICA ,33624.973589999994,0,2009
 LENHA ,24609.4348432508,0,2009
 PRODUTOS DA CANA ,44775.33963902466,0,2009
 OUTRAS FONTES PRIMÁRIAS ,9604.690947791818,0,2009
 ENERGIA PRIMÁRIA TOTAL ,240712.72702621727,35363.68630430073,2009
 BIODIESEL ,0,0,2009
 ÓLEO DIESEL ,0,2980.72,2009
 ÓLEO COMBUSTÍVEL ,0,9.781799999999999,2009
 GASOLINA ,0,9.989,2009
 GLP ,0,1562.1436999999999,2009
 NAFTA ,0,3958.4925000000003,2009
 QUEROSENE ,0,1043.6111999999998,2009
 GÁS DE CIDADE E DE COQUERIA ,0,0,2009
 COQUE DE CARVÃO MINERAL ,0,299.73599999999993,2009
 URÂNIO CONTIDO NO UO2,0,3706.9575485831,2009
 ELETRICIDADE,0,3504.1559999999995,2009
 CARVÃO VEGETAL ,0,0.646,2009
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2.353806318,2009
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2869.016580458653,2009
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,968.2285,2009
 ALCATRÃO ,0,0.13080769230769232,2009
 ENERGIA SECUNDÁRIA TOTAL ,0,20915.963443052064,2009
 TOTAL  ,240712.72702621727,56279.6497473528,2009
CONTA,PRODUÇÃO,IMPORTAÇÃO,2008
 PETRÓLEO ,93999.87603312475,19688.668999999998,2008
 GÁS NATURAL ,21398.31852947428,9986.152709271977,2008
 CARVÃO VAPOR ,2551.793566693,2635.041379324673,2008
 CARVÃO METALÚRGICO ,101.32469298,7909.2090863799995,2008
 URÂNIO U3O8 ,3950.4687089999993,371.234461281703,2008
 ENERGIA HIDRÁULICA ,31781.8504,0,2008
 LENHA ,29226.577802699143,0,2008
 PRODUTOS DA CANA ,45018.51751273538,0,2008
 OUTRAS FONTES PRIMÁRIAS ,8686.087828604048,0,2008
 ENERGIA PRIMÁRIA TOTAL ,236714.81507531062,40590.30663625835,2008
 BIODIESEL ,0,0,2008
 ÓLEO DIESEL ,0,4943.254018065723,2008
 ÓLEO COMBUSTÍVEL ,0,190.16832824185587,2008
 GASOLINA ,0,0.13326899999999997,2008
 GLP ,0,1337.3722236323915,2008
 NAFTA ,0,3590.6805,2008
 QUEROSENE ,0,1230.4608090788506,2008
 GÁS DE CIDADE E DE COQUERIA ,0,0,2008
 COQUE DE CARVÃO MINERAL ,0,1311,2008
 URÂNIO CONTIDO NO UO2,0,3547.9963672593794,2008
 ELETRICIDADE,0,3689.4429999999998,2008
 CARVÃO VEGETAL ,0,0.4522,2008
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0.249139302,2008
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3086.8976783596136,2008
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1295.2867162395326,2008
 ALCATRÃO ,0,8.3252547,2008
 ENERGIA SECUNDÁRIA TOTAL ,0,24231.71950387935,2008
 TOTAL  ,236714.81507531062,64822.0261401377,2008
CONTA,PRODUÇÃO,IMPORTAÇÃO,2007
 PETRÓLEO ,90765.49397709091,21515.04,2007
 GÁS NATURAL ,18024.590000073,9093.92,2007
 CARVÃO VAPOR ,2257.0600217479996,2619.72,2007
 CARVÃO METALÚRGICO ,92.26328642999998,7598.394,2007
 URÂNIO U3O8 ,3621.617964749999,2504.86359376641,2007
 ENERGIA HIDRÁULICA ,32165.3004576,0,2007
 LENHA ,28618.336744298245,0,2007
 PRODUTOS DA CANA ,40458.4884899921,0,2007
 OUTRAS FONTES PRIMÁRIAS ,7879.350482585272,0,2007
 ENERGIA PRIMÁRIA TOTAL ,223882.50142456757,43331.93759376641,2007
 BIODIESEL ,0,0,2007
 ÓLEO DIESEL ,0,4324.296288,2007
 ÓLEO COMBUSTÍVEL ,0,112.080248,2007
 GASOLINA ,0,7.726789,2007
 GLP ,0,1096.47616,2007
 NAFTA ,0,3692.655,2007
 QUEROSENE ,0,732.606678,2007
 GÁS DE CIDADE E DE COQUERIA ,0,0,2007
 COQUE DE CARVÃO MINERAL ,0,1087.716,2007
 URÂNIO CONTIDO NO UO2,0,991.9430450636298,2007
 ELETRICIDADE,0,3514.4863784800004,2007
 CARVÃO VEGETAL ,0,9.367,2007
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2.193601512,2007
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2733.75457911346,2007
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1107.770228,2007
 ALCATRÃO ,0,0,2007
 ENERGIA SECUNDÁRIA TOTAL ,0,19413.07199516909,2007
 TOTAL  ,223882.50142456757,62745.0095889355,2007
CONTA,PRODUÇÃO,IMPORTAÇÃO,2006
 PETRÓLEO ,89214.49,17284.69,2006
 GÁS NATURAL ,17582.058,8614.32,2006
 CARVÃO VAPOR ,2199.6997152,2437.9469999999997,2006
 CARVÃO METALÚRGICO ,87.30792,6749.465999999999,2006
 URÂNIO U3O8 ,2337.9432613999993,1984.8102889499994,2006
 ENERGIA HIDRÁULICA ,29997.26956,0,2006
 LENHA ,28482.49,0,2006
